Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
med_web_reg,Chrome 120.0.0.0,"This is the first terst suite, like a test",,02-01-2024 09:46:01,02-01-2024 09:46:53,51.463s,PASSED
,,,,,,,
Test Cases/Purdygo Web,Chrome 120.0.0.0,"Inicio de sesion, ir al modulo de vehiculos y cerrar sesion",vehicles,02-01-2024 09:46:01,02-01-2024 09:46:53,51.289s,PASSED
"openBrowser(""https://www.purdygo.com/login"")",Chrome 120.0.0.0,,,02-01-2024 09:46:02,02-01-2024 09:46:05,3.674s,PASSED
"setText(findTestObject(""Object Repository/Page_Purdy Go  Grupo Purdy/input_dni""), ""206620322"")",Chrome 120.0.0.0,,,02-01-2024 09:46:05,02-01-2024 09:46:06,1.238s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Purdy Go  Grupo Purdy/input_Password""), ""rW4xpLP3Il7ubrARDgVpwA=="")",Chrome 120.0.0.0,,,02-01-2024 09:46:06,02-01-2024 09:46:07,0.542s,PASSED
"click(findTestObject(""Object Repository/Page_Purdy Go  Grupo Purdy/button_Iniciar sesin""))",Chrome 120.0.0.0,,,02-01-2024 09:46:07,02-01-2024 09:46:08,0.518s,PASSED
"click(findTestObject(""Object Repository/Page_Purdy Go  Grupo Purdy/a_Vehculos""))",Chrome 120.0.0.0,,,02-01-2024 09:46:08,02-01-2024 09:46:11,3.750s,PASSED
"click(findTestObject(""Object Repository/Page_Purdy Go  Grupo Purdy/img""))",Chrome 120.0.0.0,,,02-01-2024 09:46:11,02-01-2024 09:46:39,28.066s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Purdy Go  Grupo Purdy/h2_Rav4 Hbrido""), 0)",Chrome 120.0.0.0,,,02-01-2024 09:46:39,02-01-2024 09:46:45,5.616s,PASSED
"click(findTestObject(""Object Repository/Page_Purdy Go  Grupo Purdy/img_1""))",Chrome 120.0.0.0,,,02-01-2024 09:46:45,02-01-2024 09:46:45,0.401s,PASSED
"click(findTestObject(""Object Repository/Page_Purdy Go  Grupo Purdy/button_Cerrar Sesin""))",Chrome 120.0.0.0,,,02-01-2024 09:46:45,02-01-2024 09:46:52,7.077s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,02-01-2024 09:46:52,02-01-2024 09:46:53,0.176s,PASSED
